qid	question	option_a	option_b	option_c	option_d	answer
q0001	根据材料，全国人大常委会的立法解释与最高法院的司法解释之间的层级关系如何？	A. 司法解释高于立法解释	B. 立法解释高于司法解释	C. 两者层级平等	D. 两者无直接关系	B
q0002	张明楷的著作《罪刑法定与刑法解释》是由哪家出版社出版的？	A. 中国人民大学出版社	B. 北京大学出版社	C. 清华大学出版社	D. 法律出版社	B
q0003	根据材料，哪些机构负责制作司法解释？	A. 全国人大常委会	B. 最高法院和最高检察院	C. 最高法院	D. 最高检察院	B
q0004	根据相关解释，冒充国家机关工作人员的情形中，以下哪项描述正确？	A. 只有非国家机关工作人员的冒充才构成冒充行为。	B. 行政机关工作人员冒充司法机关工作人员属于此种冒充彼种的情形。	C. 冒充行为仅限于职务低的国家机关工作人员冒充职务高的。	D. 职务高的国家机关工作人员冒充职务低的不被视为冒充。	B
q0005	在罪刑法定原则下，以下哪个选项无权规定犯罪和刑罚？	A. 立法机关	B. 行政机关	C. 司法机关	D. 国务院	B
q0006	副乡长冒充市长招摇撞骗，属于冒充国家机关工作人员的哪种情形？	A. 非国家机关工作人员冒充国家机关工作人员	B. 此种国家机关工作人员冒充彼种国家机关工作人员	C. 职务低的国家机关工作人员冒充职务高的国家机关工作人员	D. 职务高的国家机关工作人员冒充职务低的	C
q0007	根据金正男案的相关描述，金正男与金正恩的关系是什么？	A. 哥哥	B. 弟弟	C. 父亲	D. 叔叔	A
q0008	在金正男案中，马来西亚依据哪种管辖原则进行司法管辖？	A. 保护管辖	B. 属地管辖	C. 属人管辖	D. 外交管辖	B
q0009	根据我国刑法规定，民族自治区人大在刑法适用方面可以行使什么权力？	A. 完全废除刑法条文	B. 制定变通或补充规定	C. 直接适用国际刑法	D. 暂停所有刑法执行	B
q0010	刑法修正案(十)和刑法修正案(十一)的生效时间分别是？	A. 2017年11月4日和2021年3月1日	B. 2021年3月1日和2017年11月4日	C. 2018年1月1日和2020年3月1日	D. 2016年10月1日和2022年4月1日	A
q0011	谁发布了《关于适用刑事司法解释时间效力问题的规定》？	A. 最高人民法院	B. 最高人民检察院	C. 最高人民法院和最高人民检察院	D. 国家司法机关	C
q0012	根据事实，'关于适用刑事司法解'与'时间效力问题的规定'的关系是什么？	A. 两个独立的司法解释文件	B. 同一文件的组成部分	C. 前后版本的司法解释	D. 不同领域的相关规定	B
