qid	question	option_a	option_b	option_c	option_d	answer
q0001	根据相关法律知识，在解释法律时，哪个机构的解释具有最高优先级？	A. 最高法院	B. 最高检察院	C. 全国人大常委会	D. 最高法院和最高检察院	C
q0002	张明楷的著作《罪刑法定与刑法解释》是由哪个出版社出版的？	A. 中国人民大学出版社	B. 北京大学出版社	C. 法律出版社	D. 高等教育出版社	B
q0003	张明楷的著作《刑法分则的解释原理》是由哪个出版社出版的？	A. 中国人民大学出版社	B. 北京大学出版社	C. 最高人民法院出版社	D. 中国社会科学出版社	A
q0004	根据文理解释，将副乡长冒充市长的行为解释为“冒充”国家机关工作人员招摇撞骗，是否符合？	A. 符合	B. 不符合	C. 仅当涉及欺诈目的	D. 视职务层级而定	A
q0005	下列哪项属于冒充国家机关工作人员中的“此种国家机关工作人员冒充彼种国家机关工作人员”的典型例子？	A. 非国家机关工作人员冒充公务员	B. 行政机关工作人员冒充司法机关工作人员	C. 副乡长冒充市长	D. 司法机关工作人员冒充行政机关工作人员	B
q0006	根据罪刑法定原则，下列哪个机关有权规定犯罪和刑罚？	A. 立法机关	B. 行政机关	C. 司法机关	D. 国务院	A
q0007	最高人民法院和最高人民检察院在刑法方面有何权限？	A. 制定刑法	B. 解释刑法	C. 执行刑法	D. 废除刑法	B
q0008	张明楷的《刑法学》(第六版)是由哪家出版社出版的？	A. 法律出版社	B. 人民法院出版社	C. 最高人民检察院出版社	D. 刑法出版社	A
q0009	根据某省高级法院的指导意见，交通事故中司机不逃逸、救助被害人并保护现场的行为属于什么？	A. 自首行为	B. 履行行政法上的义务	C. 犯罪行为	D. 民事赔偿义务	B
q0010	在“金正男案”中，马来西亚主张管辖权的法律依据是什么？	A. 保护管辖	B. 属地管辖	C. 属人管辖	D. 普遍管辖	B
q0011	根据我国刑法效力的规定，港澳台地区在刑法适用上如何处理？	A. 一律适用中国统一刑法	B. 适用本地区刑法	C. 通过外交途径解决	D. 由民族自治区人大制定变通规定适用	B
q0012	金正恩与金正男之间的关系是什么？	A. 父子关系	B. 兄弟关系	C. 上下级关系	D. 无亲属关系	B
q0013	刑法修正案(十)的生效日期是哪一天？	A. 2017年11月4日	B. 2021年3月1日	C. 2018年1月1日	D. 2020年1月1日	A
q0014	最高人民法院和最高人民检察院共同发布了哪一项司法解释？	A. 刑法修正案(十)	B. 刑法修正案(十一)	C. 关于适用刑事司法解释时间效力问题的规定	D. 时间效力问题的规定	C
q0015	《关于适用刑事司法解释时间效力问题的规定》是在哪一年发布的？	A. 2017年	B. 2021年	C. 2001年	D. 2005年	C
q0016	在给定的法律知识图谱中，最高人民法院与以下哪个实体有直接关联？	A. 刑事法律	B. 关于适用刑事司法解	C. 司法程序	D. 法律解释	B
q0017	"最高人民法院和""关于适用刑事司法解""在知识图谱中的关系类型是什么？"	A. 类型属于	B. 相关到	C. 定义	D. 解释	B
q0018	基于知识图谱事实，哪个实体与最高人民法院存在关联关系？	A. 最高人民检察院	B. 关于适用刑事司法解	C. 立法机构	D. 行政执法部门	B
