node_id	label	name	page_no	sentence_id
n00001	government	全国人大常委会	2	s0016
n00002	government	最高法院	2	s0016
n00003	government	最高检察院	2	s0016
n00004	government	质检部门	2	s0020
n00005	name	张明楷	3	s0071
n00006	book	罪刑法定与刑法解释	3	s0071
n00007	organization	北京大学出版	3	s0071
n00008	book	刑法分则的解释原理	3	s0072
n00009	organization	中国人民大学出版	3	s0072
n00010	government	国家机关	4	s0082
n00011	position	副乡长	4	s0083
n00012	position	市长	4	s0083
n00013	government	司法机关	5	s0149
n00014	position	警察	7	s0209
n00015	position	军警	7	s0210
n00016	book	真金题卷	7	s0231
n00017	government	行政机关	7	s0237
n00018	government	立法机关	8	s0254
n00019	name	成文	8	s0259
n00020	government	机关	8	s0260
n00021	government	国务院	8	s0260
n00022	government	最高人民法院	8	s0261
n00023	government	最高人民检察院	8	s0261
n00024	book	刑法学	8	s0274
n00025	organization	律出版	8	s0274
n00026	name	鲍如	9	s0279
n00027	name	许霆	9	s0301
n00028	government	省高级法院	9	s0302
n00029	position	司机	9	s0302
n00030	government	全国人大	9	s0308
n00031	government	家机关	10	s0316
n00032	name	金正男	10	s0323
n00033	position	领导人	10	s0323
n00034	name	金正恩	10	s0323
n00035	address	马来西亚	10	s0323
n00036	government	华人民共和	10	s0325
n00037	government	中华人民共和国	10	s0326
n00038	government	中华人民共	10	s0327
n00039	government	海关	11	s0341
n00040	government	中华人民共和	11	s0348
n00041	address	澳台	11	s0349
n00042	government	民族自治区人大	11	s0349
n00043	address	拉斯维加斯	11	s0352
n00044	address	法国	11	s0358
n00045	address	缅甸	11	s0363
n00046	address	越南	12	s0367
n00047	position	经理	12	s0378
n00048	book	法修正案	12	s0380
n00049	book	刑法修正案(八)	12	s0381
n00050	book	刑法修正案	12	s0382
n00051	book	刑法修正案(十)	12	s0383
n00052	book	刑法修正案(十一)	12	s0383
n00053	book	刑法修正案(十二)	12	s0384
n00054	book	关于适用刑事司法解	13	s0401
n00055	book	时间效力问题的规定	13	s0401
