node_key,name,label,status
不同构成要件间的认识错误||Concept,不同构成要件间的认识错误,Concept,TP
客观构成要件||Concept,客观构成要件,Concept,TP
对象错误||Concept,对象错误,Concept,TP
意外事件||Concept,意外事件,Concept,TP
打击错误||Concept,打击错误,Concept,TP
报警电话||Other,报警电话,Other,TP
抽象的认识错误||Concept,抽象的认识错误,Concept,TP
故意||Concept,故意,Concept,TP
汽车||Other,汽车,Other,TP
苹果||Other,苹果,Other,TP
行为人||Concept,行为人,Concept,TP
行为人||Other,行为人,Other,TP
行人||Other,行人,Other,TP
认识错误||Concept,认识错误,Concept,TP
过失||Concept,过失,Concept,TP
间接故意||Concept,间接故意,Concept,TP
鱼丸||Other,鱼丸,Other,TP
211”室||Location,211”室,Location,FP
A死||Crime,A死,Crime,FP
Q@||Other,Q@,Other,FP
一般与特殊的关系||Concept,一般与特殊的关系,Concept,FP
七点半||Time,七点半,Time,FP
丈夫||Person,丈夫,Person,FP
上游犯罪||Crime,上游犯罪,Crime,FP
不可抗力||Concept,不可抗力,Concept,FP
不可抗力||Law,不可抗力,Law,FP
不当得利||Law,不当得利,Law,FP
不能犯||Concept,不能犯,Concept,FP
不能犯||Law,不能犯,Law,FP
专题讲座精讲卷||Book,专题讲座精讲卷,Book,FP
丙的渔网||Other,丙的渔网,Other,FP
两步走||Concept,两步走,Concept,FP
中毒死亡||Crime,中毒死亡,Crime,FP
中毒身亡||Crime,中毒身亡,Crime,FP
主客观||Concept,主客观,Concept,FP
主客观相一致原则||Concept,主客观相一致原则,Concept,FP
主观原因||Concept,主观原因,Concept,FP
主观要件||Concept,主观要件,Concept,FP
乘客||Person,乘客,Person,FP
乙丙||Person,乙丙,Person,FP
事前故意||Concept,事前故意,Concept,FP
事实认识错误||Concept,事实认识错误,Concept,FP
二因一果||Concept,二因一果,Concept,FP
二皇子||Person,二皇子,Person,FP
五星级考点||Concept,五星级考点,Concept,FP
交通法规||Law,交通法规,Law,FP
交通秘事罪||Crime,交通秘事罪,Crime,FP
人人||Person,人人,Person,FP
人参果||Other,人参果,Other,FP
人权||Concept,人权,Concept,FP
人的生命||Concept,人的生命,Concept,FP
人警察||Org,人警察,Org,FP
人质||Concept,人质,Concept,FP
人质||Other,人质,Other,FP
人身犯罪||Concept,人身犯罪,Concept,FP
仇人||Concept,仇人,Concept,FP
介入因素两步走标准||Concept,介入因素两步走标准,Concept,FP
仓库||Location,仓库,Location,FP
他人||Concept,他人,Concept,FP
优人乙||Person,优人乙,Person,FP
传播性病罪||Crime,传播性病罪,Crime,FP
伤害健康||Concept,伤害健康,Concept,FP
位置||Concept,位置,Concept,FP
侵占||Crime,侵占,Crime,FP
侵占罪||Crime,侵占罪,Crime,FP
保护法益||Concept,保护法益,Concept,FP
修改案件事实||Crime,修改案件事实,Crime,FP
假币||Concept,假币,Concept,FP
假欧元||Crime,假欧元,Crime,FP
假烟||Crime,假烟,Crime,FP
假美元||Crime,假美元,Crime,FP
儿子||Person,儿子,Person,FP
入户非法取财||Crime,入户非法取财,Crime,FP
