qid	question	option_a	option_b	option_c	option_d	answer
q0001	根据提供的材料，谁负责立法解释？	A. 最高法院	B. 最高检察院	C. 全国人大常委会	D. 最高法院和最高检察院	C
q0002	根据提供的材料，司法解释由哪些机构负责？	A. 全国人大常委会	B. 最高法院	C. 最高检察院	D. 最高法院和最高检察院	D
q0003	张明楷的著作《罪刑法定与刑法解释》的出版年份是哪一年？	A. 2009年	B. 2010年	C. 2011年	D. 2012年	B
q0004	冒充国家机关工作人员的情形中，行政机关工作人员冒充司法机关工作人员属于以下哪种类型？	A. 非国家机关工作人员冒充国家机关工作人员	B. 此种国家机关工作人员冒充彼种国家机关工作人员	C. 职务低的国家机关工作人员冒充职务高的国家机关工作人员	D. 职务高的国家机关工作人员冒充职务低的	B
q0005	"根据相关解释，副乡长冒充市长的行为是否能被解释为""冒充""国家机关工作人员？"	A. 是	B. 否	C. 取决于具体情境	D. 只有涉及招摇撞骗时	A
q0006	在罪刑法定原则下，有权规定犯罪和刑罚的是？	A. 立法机关	B. 行政机关	C. 国务院	D. 司法机关	A
q0007	根据相关事实，最高人民法院和最高人民检察院在刑法方面的权力是什么？	A. 制定刑法	B. 解释刑法	C. 修改刑法	D. 废除刑法	B
q0008	张明楷的《刑法学》(第六版)是由哪个出版社出版的？	A. 人民大学出版社	B. 法律出版社	C. 高等教育出版社	D. 商务印书馆	B
q0009	根据某省高级法院的指导意见，肇事司机在什么情况下可以认定为自首？	A. 不逃逸并救助被害人	B. 逃逸后自动投案	C. 保护现场	D. 留在现场等候处理	B
q0010	在金正男案中，马来西亚依据哪项管辖原则行使管辖权？	A. 保护管辖	B. 属地管辖	C. 属人管辖	D. 外交途径	B
q0011	根据刑法效力规则，我国港澳台地区发生犯罪时，应适用何种法律？	A. 中华人民共和国刑法	B. 本地区刑法	C. 民族自治区变通规定	D. 国际刑法	B
q0012	金正男遇害地点是哪个国家？	A. 朝鲜	B. 马来西亚	C. 越南	D. 中国	B
q0013	根据相关事实，刑法修正案(十)的生效日期是哪一天？	A. 2017年11月4日	B. 2021年3月1日	C. 2001年12月7日	D. 2018年1月1日	A
q0014	根据来源原句，《关于适用刑事司法解释时间效力问题的规定》是由哪个机构发布的？	A. 最高人民法院单独发布	B. 最高人民检察院单独发布	C. 最高人民法院和最高人民检察院联合发布	D. 全国人大常委会发布	C
q0015	刑法修正案(十一)的生效日期是哪一天？	A. 2017年11月4日	B. 2021年3月1日	C. 2001年12月7日	D. 2020年12月31日	B
