node_id	name	label	page_no	sentence_id
n00001	全国人大常委会	government	2	s0016
n00002	最高法院	government	2	s0016
n00003	最高检察院	government	2	s0016
n00004	质检部门	government	2	s0020
n00005	张明楷	name	3	s0071
n00006	罪刑法定与刑法解释	book	3	s0071
n00007	北京大学出版	organization	3	s0071
n00008	刑法分则的解释原理	book	3	s0072
n00009	中国人民大学出版	organization	3	s0072
n00010	国家机关	government	4	s0082
n00011	副乡长	position	4	s0083
n00012	市长	position	4	s0083
n00013	司法机关	government	5	s0149
n00014	警察	position	7	s0209
n00015	军警	position	7	s0210
n00016	真金题卷	book	7	s0231
n00017	行政机关	government	7	s0237
n00018	立法机关	government	8	s0254
n00019	成文	name	8	s0259
n00020	机关	government	8	s0260
n00021	国务院	government	8	s0260
n00022	最高人民法院	government	8	s0261
n00023	最高人民检察院	government	8	s0261
n00024	刑法学	book	8	s0274
n00025	律出版	organization	8	s0274
n00026	鲍如	name	9	s0279
n00027	许霆	name	9	s0301
n00028	省高级法院	government	9	s0302
n00029	司机	position	9	s0302
n00030	全国人大	government	9	s0308
n00031	家机关	government	10	s0316
n00032	金正男	name	10	s0323
n00033	领导人	position	10	s0323
n00034	金正恩	name	10	s0323
n00035	马来西亚	address	10	s0323
n00036	华人民共和	government	10	s0325
n00037	中华人民共和国	government	10	s0326
n00038	中华人民共	government	10	s0327
n00039	海关	government	11	s0341
n00040	中华人民共和	government	11	s0348
n00041	澳台	address	11	s0349
n00042	民族自治区人大	government	11	s0349
n00043	拉斯维加斯	address	11	s0352
n00044	法国	address	11	s0358
n00045	缅甸	address	11	s0363
n00046	越南	address	12	s0367
n00047	经理	position	12	s0378
n00048	法修正案	book	12	s0380
n00049	刑法修正案(八)	book	12	s0381
n00050	刑法修正案	book	12	s0382
n00051	刑法修正案(十)	book	12	s0383
n00052	刑法修正案(十一)	book	12	s0383
n00053	刑法修正案(十二)	book	12	s0384
n00054	关于适用刑事司法解	book	13	s0401
n00055	时间效力问题的规定	book	13	s0401
