qid	Q_total_before	original_question	original_option_a	original_option_b	original_option_c	original_option_d	original_answer	revised_question	revised_option_a	revised_option_b	revised_option_c	revised_option_d	revised_answer	changed	revision_reason
q0001	1.0000	根据相关事实，全国人大常委会作的立法解释与最高法院、最高检察院作的司法解释之间，其法律效力关系如何？	A. 具有同等法律效力	B. 立法解释优先于司法解释	C. 司法解释优先于立法解释	D. 两者无直接关系	B	根据相关事实，全国人大常委会作的立法解释与最高法院、最高检察院作的司法解释之间，其法律效力关系如何？	A. 具有同等法律效力	B. 立法解释优先于司法解释	C. 司法解释优先于立法解释	D. 两者无直接关系	B	no	
q0002	1.0000	张明楷的著作《罪刑法定与刑法解释》出版于哪一年？	A. 2010年	B. 2011年	C. 2009年	D. 2012年	A	张明楷的著作《罪刑法定与刑法解释》出版于哪一年？	A. 2010年	B. 2011年	C. 2009年	D. 2012年	A	no	
q0003	1.0000	张明楷的著作《刑法分则的解释原理》由哪家出版社出版？	A. 北京大学出版社	B. 中国人民大学出版社	C. 法律出版社	D. 高等教育出版社	B	张明楷的著作《刑法分则的解释原理》由哪家出版社出版？	A. 北京大学出版社	B. 中国人民大学出版社	C. 法律出版社	D. 高等教育出版社	B	no	
q0004	1.0000	根据相关知识，冒充国家机关工作人员的情形包括哪些？	A. 非国家机关工作人员冒充国家机关工作人员	B. 行政机关工作人员冒充司法机关工作人员	C. 职务低的国家机关工作人员冒充职务高的国家机关工作人员	D. 以上均是	D	根据相关知识，冒充国家机关工作人员的情形包括哪些？	A. 非国家机关工作人员冒充国家机关工作人员	B. 行政机关工作人员冒充司法机关工作人员	C. 职务低的国家机关工作人员冒充职务高的国家机关工作人员	D. 以上均是	D	no	
q0005	0.9400	在罪刑法定原则下，谁有权规定犯罪和刑罚？	A. 立法机关	B. 行政机关	C. 国务院	D. 司法机关	A	在罪刑法定原则下，谁有权规定犯罪和刑罚？	A. 立法机关	B. 行政机关	C. 国务院	D. 司法机关	A	no	
q0006	0.8800	副乡长冒充市长的行为，属于冒充国家机关工作人员的哪种情形？	A. 非国家机关工作人员冒充国家机关工作人员	B. 不同种类国家机关工作人员之间冒充	C. 职务低的国家机关工作人员冒充职务高的国家机关工作人员	D. 以上都不是	C	副乡长冒充市长的行为，在冒充国家机关工作人员的情形分类中，对应以下哪种类型？	非国家机关工作人员冒充国家机关工作人员的身份	不同类别国家机关工作人员之间相互冒充职务	职务低的国家机关工作人员冒充职务高的国家机关工作人员	以上都不是	C	yes	增强干扰项迷惑性，改进选项A和B的表述使其更精确且符合法律语言（选项A添加‘身份’一词以强化非工作人员冒充的维度，选项B明确为‘相互冒充职务’以体现部门差异但避免与职务高低混淆）；题干微调为更正式流畅的表达以提升整体质量；保持核心知识点和正确答案C不变。
q0007	1.0000	最高人民法院和最高人民检察院在刑法方面的权限是什么？	A. 制定刑法	B. 解释刑法	C. 执行刑法	D. 修改刑法	B	最高人民法院和最高人民检察院在刑法方面的权限是什么？	A. 制定刑法	B. 解释刑法	C. 执行刑法	D. 修改刑法	B	no	
q0008	1.0000	张明楷所著的《刑法学》(第六版)一书由哪家出版社出版？	A. 人民出版社	B. 法律出版社	C. 法制出版社	D. 高等教育出版社	B	张明楷所著的《刑法学》(第六版)一书由哪家出版社出版？	A. 人民出版社	B. 法律出版社	C. 法制出版社	D. 高等教育出版社	B	no	
q0009	0.8300	根据某省高级法院的指导意见，如果秘事司机在交通事故后不逃逸、救助被害人、保护现场，这种行为是否能被认定为自首？	A. 可以认定为自首	B. 不能认定为自首	C. 部分认定为自首	D. 只有在逃逸后才认定	B	根据《中华人民共和国刑法》的规定，行为人在交通事故后不逃逸、救助被害人并保护现场，但未主动向公安机关投案或报案，该行为是否可以被认定为自首？	可以认定为自首	不能认定为自首	可以认定为酌情从宽处罚的情节	只有在行为人逃逸后才可能认定	B	yes	增强忠实性：改用刑法规定替换地方意见，确保法律事实准确；提高覆盖度：明确未主动投案的核心要件，覆盖自首认定条件；优化干扰项：C选项改为'酌情从宽处罚的情节'增加迷惑性（行为人行为积极但不构成自首），D选项调整为逃逸后的错误前提；提升流畅度：规范中文表达，消除重复字母和歧义。
q0010	1.0000	在'金正男案'中，马来西亚依据哪种管辖权主张对该案的管辖权？	A. 属人管辖	B. 属地管辖	C. 保护管辖	D. 普遍管辖	B	在'金正男案'中，马来西亚依据哪种管辖权主张对该案的管辖权？	A. 属人管辖	B. 属地管辖	C. 保护管辖	D. 普遍管辖	B	no	
