entity_id	sentence_id	page_no	mention	start_char	end_char	ent_type	confidence
e00001	s0016	2	全国人大常委会	0	7	government	0.9183157086372375
e00002	s0016	2	最高法院	14	18	government	0.9887720346450806
e00003	s0016	2	最高检察院	19	24	government	0.9881471395492554
e00004	s0020	2	质检部门	39	43	government	0.8409816026687622
e00006	s0071	3	张明楷	15	18	name	0.993704080581665
e00007	s0071	3	罪刑法定与刑法解释	19	30	book	0.9833131432533264
e00008	s0071	3	北京大学出版	31	37	organization	0.846428632736206
e00010	s0072	3	刑法分则的解释原理	5	16	book	0.9751577973365784
e00011	s0072	3	中国人民大学出版	31	39	organization	0.8591022491455078
e00012	s0082	4	国家机关	24	28	government	0.8227506875991821
e00013	s0083	4	副乡长	1	4	position	0.9595697522163391
e00014	s0083	4	市长	7	9	position	0.9852147102355957
e00016	s0149	5	司法机关	0	4	government	0.915934681892395
e00017	s0153	6	司法机关	18	22	government	0.7956832051277161
e00019	s0183	6	质检部门	15	19	government	0.7533790469169617
e00020	s0209	7	警察	8	10	position	0.8327669501304626
e00021	s0210	7	军警	12	14	position	0.7872567176818848
e00024	s0217	7	国家机关	9	13	government	0.7035762071609497
e00025	s0218	7	副乡长	1	4	position	0.9853469729423523
e00026	s0218	7	市长	6	8	position	0.9842488169670105
e00028	s0231	7	真金题卷	18	24	book	0.9808923602104187
e00034	s0237	7	行政机关	71	75	government	0.9366333484649658
e00035	s0237	7	司法机关	81	85	government	0.948864221572876
e00038	s0254	8	立法机关	14	18	government	0.6894301772117615
e00039	s0259	8	成文	0	2	name	0.8874359726905823
e00040	s0260	8	机关	7	9	government	0.59031081199646
e00041	s0260	8	行政机关	25	29	government	0.6905581951141357
e00042	s0260	8	国务院	67	70	government	0.9644348621368408
e00043	s0261	8	最高人民法院	0	6	government	0.9844539761543274
e00044	s0261	8	最高人民检察院	7	14	government	0.985600471496582
e00045	s0274	8	张明楷	2	5	name	0.9922810196876526
e00046	s0274	8	刑法学	6	11	book	0.9796515703201294
e00047	s0274	8	律出版	19	22	organization	0.682293176651001
e00048	s0279	9	鲍如	0	2	name	0.8491711616516113
e00049	s0301	9	许霆	16	18	name	0.9870132803916931
e00052	s0302	9	省高级法院	4	10	government	0.8305845260620117
e00053	s0302	9	司机	21	23	position	0.5519106984138489
e00054	s0308	9	全国人大	13	17	government	0.8886992931365967
e00055	s0316	10	家机关	113	116	government	0.6199092864990234
e00056	s0323	10	金正男	29	32	name	0.971067488193512
e00057	s0323	10	领导人	34	37	position	0.9342515468597412
e00058	s0323	10	金正恩	37	40	name	0.9750590324401855
e00059	s0323	10	马来西亚	46	50	address	0.8763855695724487
e00061	s0325	10	华人民共和	44	49	government	0.5314458608627319
e00062	s0326	10	中华人民共和国	2	9	government	0.7461732625961304
e00063	s0327	10	中华人民共	15	20	government	0.5375584363937378
e00065	s0341	11	海关	46	48	government	0.8644684553146362
e00066	s0344	11	华人民共和	30	35	government	0.6407983899116516
e00068	s0345	11	中华人民共和国	0	7	government	0.6729318499565125
e00069	s0348	11	中华人民共和	34	40	government	0.5311874747276306
e00070	s0349	11	澳台	52	54	address	0.6662660837173462
e00071	s0349	11	民族自治区人大	68	75	government	0.9358177781105042
e00072	s0352	11	拉斯维加斯	14	19	address	0.9738117456436157
e00073	s0358	11	法国	25	27	address	0.596436619758606
e00075	s0363	11	缅甸	9	11	address	0.8860089778900146
e00076	s0364	11	马来西亚	5	9	address	0.912348210811615
e00077	s0367	12	金正男	23	26	name	0.5987913012504578
e00078	s0367	12	马来西亚	39	43	address	0.8865358233451843
e00079	s0367	12	越南	50	52	address	0.762607216835022
e00081	s0370	12	中华人民共和国	51	59	government	0.7775635719299316
e00082	s0378	12	经理	9	11	position	0.967267632484436
e00083	s0380	12	法修正案	2	6	book	0.7396011352539062
e00084	s0381	12	刑法修正案(八)	0	12	book	0.7695773243904114
e00085	s0382	12	刑法修正案	0	6	book	0.8057243824005127
e00086	s0383	12	刑法修正案(十)	0	13	book	0.7834329009056091
e00087	s0383	12	刑法修正案(十一)	26	39	book	0.7952869534492493
e00088	s0384	12	刑法修正案(十二)	0	14	book	0.770897626876831
e00089	s0387	13	刑法修正案(十二)	10	24	book	0.722957193851471
e00090	s0401	13	最高人民法院	38	44	government	0.9871830940246582
e00091	s0401	13	最高人民检察院	45	52	government	0.9844204783439636
e00092	s0401	13	关于适用刑事司法解	52	62	book	0.7054409384727478
e00093	s0401	13	时间效力问题的规定	63	73	book	0.7695732712745667
