node_id	label	name	page_no	sentence_id
e00001	Concept	刑法论	1	s0001
e00002	Concept	刑法的解释	1	s0001
e00003	Concept	基本原则	1	s0001
e00004	Concept	适用效力	1	s0001
e00005	Concept	犯罪成立问题	1	s0001
e00006	Concept	犯罪构成体系	1	s0001
e00007	Concept	犯罪的时间发展问题	1	s0001
e00008	Concept	犯罪形态	1	s0001
e00009	Concept	预备一	1	s0001
e00010	Concept	中止一	1	s0001
e00011	Concept	未遂一	1	s0001
e00012	Concept	既弟	1	s0001
e00013	Concept	刑法	1	s0001
e00014	Concept	犯罪成立	1	s0001
e00015	Concept	之后的问题二	1	s0001
e00016	Concept	犯罪的空间分布问题	1	s0001
e00017	Concept	共同犯罪	1	s0001
e00018	Concept	正犯一	1	s0001
e00019	Concept	共犯	1	s0001
e00020	Concept	犯罪的数量计算问题	1	s0001
e00021	Concept	罪数	1	s0001
e00022	Concept	一罪一	1	s0001
e00023	Concept	孝徘	1	s0001
e00024	Concept	上刑果论	1	s0001
e00025	Concept	刑罚的体系一	1	s0001
e00026	Concept	城量	1	s0001
e00027	Concept	执行	1	s0001
e00028	Concept	消严	1	s0001
e00029	Concept	第一太	1	s0001
e00030	Concept	刑法的解释	1	s0001
e00031	Concept	问题	1	s0001
e00032	Concept	如何解释故意杀人罪中的	1	s0001
e00033	Concept	杀害脑死亡的人是否构成故意杀人罪	1	s0002
e00034	Concept	批判法律	1	s0003
e00035	Concept	修改法律	1	s0003
e00036	Concept	立法论研究	1	s0003
e00037	Concept	服务对象是立法者	1	s0003
e00038	Concept	刑法研究方向	1	s0003
e00039	Concept	解释法律	1	s0003
e00040	Concept	适用法委	1	s0003
e00041	Concept	解释论研究	1	s0003
e00042	Concept	服务对象是实务人二	1	s0003
e00043	Concept	结论	1	s0003
e00044	Concept	脑死亡但心脏在跳动的人	1	s0003
e00045	Concept	属于活人	1	s0003
e00046	Concept	杀害之	1	s0004
e00047	Concept	构成故意杀人罪	1	s0004
e00048	Concept	刑法	2	s0006
e00049	Concept	专题讲座精讲郑	2	s0006
e00050	Concept	刑法解释学又被称为刑法教义学	2	s0006
e00051	Concept	意思是将法条规定当作教义一样去解释	2	s0006
e00052	Concept	培养人们	2	s0006
e00053	Concept	对法律的信仰	2	s0006
e00054	Concept	法律不是被嘲笑的对象	2	s0007
e00055	Concept	这也是法考命题的基本理念	2	s0007
e00056	Concept	基于这一理念	2	s0007
e00057	Concept	法考考查的能力是	2	s0007
e00058	Concept	如何解释法律	2	s0007
e00059	Concept	适用法律	2	s0007
e00060	Concept	妥当处理案件	2	s0007
e00061	Concept	而不是如何批判法律	2	s0007
e00062	Concept	改法律	2	s0007
e00063	Concept	因此	2	s0007
e00064	Concept	刑法的解释方法成为历年考试重点	2	s0007
e00065	Concept	第一	2	s0007
e00066	Concept	解释对象	2	s0007
e00067	Concept	解释的对象是现行刑法规范	2	s0007
e00068	Concept	这包括两个	2	s0007
e00069	Concept	一是刑法典	2	s0007
e00070	Concept	日生效	2	s0007
e00071	Concept	刑法修正案是对刑法典作的小修小补	2	s0007
e00072	Concept	至今已有	2	s0007
e00073	Concept	个刑法修正案	2	s0007
e00074	Concept	二是	2	s0007
e00075	Concept	一部单行刑法	2	s0007
e00076	Concept	第二	2	s0007
e00077	Concept	解释效力	2	s0007
e00078	Concept	全国人大常委会作的立法解释	2	s0007
e00079	Concept	最高法院	2	s0007
e00080	Concept	最高检察院作的司法解	2	s0007
e00081	Concept	学者作的学理解释没有法律效力	2	s0007
