edge_id	src_id	dst_id	relation_type	confidence	page_no	sentence_id
t00001	e00001	e00002	related_to	0.5	1	s0001
t00002	e00002	e00003	related_to	0.5	1	s0001
t00003	e00003	e00004	related_to	0.5	1	s0001
t00004	e00004	e00005	related_to	0.5	1	s0001
t00005	e00005	e00006	related_to	0.5	1	s0001
t00006	e00006	e00007	related_to	0.5	1	s0001
t00007	e00007	e00008	related_to	0.5	1	s0001
t00008	e00008	e00009	related_to	0.5	1	s0001
t00009	e00009	e00010	related_to	0.5	1	s0001
t00010	e00010	e00011	related_to	0.5	1	s0001
t00011	e00011	e00012	related_to	0.5	1	s0001
t00012	e00012	e00013	related_to	0.5	1	s0001
t00013	e00013	e00014	related_to	0.5	1	s0001
t00014	e00014	e00015	related_to	0.5	1	s0001
t00015	e00015	e00016	related_to	0.5	1	s0001
t00016	e00016	e00017	related_to	0.5	1	s0001
t00017	e00017	e00018	related_to	0.5	1	s0001
t00018	e00018	e00019	related_to	0.5	1	s0001
t00019	e00019	e00020	related_to	0.5	1	s0001
t00020	e00020	e00021	related_to	0.5	1	s0001
t00021	e00021	e00022	related_to	0.5	1	s0001
t00022	e00022	e00023	related_to	0.5	1	s0001
t00023	e00023	e00024	related_to	0.5	1	s0001
t00024	e00024	e00025	related_to	0.5	1	s0001
t00025	e00025	e00026	related_to	0.5	1	s0001
t00026	e00026	e00027	related_to	0.5	1	s0001
t00027	e00027	e00028	related_to	0.5	1	s0001
t00028	e00028	e00029	related_to	0.5	1	s0001
t00029	e00029	e00030	related_to	0.5	1	s0001
t00030	e00030	e00031	related_to	0.5	1	s0001
t00031	e00031	e00032	related_to	0.5	1	s0001
t00032	e00034	e00035	related_to	0.5	1	s0003
t00033	e00035	e00036	related_to	0.5	1	s0003
t00034	e00036	e00037	related_to	0.5	1	s0003
t00035	e00037	e00038	related_to	0.5	1	s0003
t00036	e00038	e00039	related_to	0.5	1	s0003
t00037	e00039	e00040	related_to	0.5	1	s0003
t00038	e00040	e00041	related_to	0.5	1	s0003
t00039	e00041	e00042	related_to	0.5	1	s0003
t00040	e00042	e00043	related_to	0.5	1	s0003
t00041	e00043	e00044	related_to	0.5	1	s0003
t00042	e00044	e00045	related_to	0.5	1	s0003
t00043	e00046	e00047	related_to	0.5	1	s0004
t00044	e00048	e00049	related_to	0.5	2	s0006
t00045	e00049	e00050	related_to	0.5	2	s0006
t00046	e00050	e00051	related_to	0.5	2	s0006
t00047	e00051	e00052	related_to	0.5	2	s0006
t00048	e00052	e00053	related_to	0.5	2	s0006
t00049	e00054	e00055	related_to	0.5	2	s0007
t00050	e00055	e00056	related_to	0.5	2	s0007
t00051	e00056	e00057	related_to	0.5	2	s0007
t00052	e00057	e00058	related_to	0.5	2	s0007
t00053	e00058	e00059	related_to	0.5	2	s0007
t00054	e00059	e00060	related_to	0.5	2	s0007
t00055	e00060	e00061	related_to	0.5	2	s0007
t00056	e00061	e00062	related_to	0.5	2	s0007
t00057	e00062	e00063	related_to	0.5	2	s0007
t00058	e00063	e00064	related_to	0.5	2	s0007
t00059	e00064	e00065	related_to	0.5	2	s0007
t00060	e00065	e00066	related_to	0.5	2	s0007
t00061	e00066	e00067	related_to	0.5	2	s0007
t00062	e00067	e00068	related_to	0.5	2	s0007
t00063	e00068	e00069	related_to	0.5	2	s0007
t00064	e00069	e00070	related_to	0.5	2	s0007
t00065	e00070	e00071	related_to	0.5	2	s0007
t00066	e00071	e00072	related_to	0.5	2	s0007
t00067	e00072	e00073	related_to	0.5	2	s0007
t00068	e00073	e00074	related_to	0.5	2	s0007
t00069	e00074	e00075	related_to	0.5	2	s0007
t00070	e00075	e00076	related_to	0.5	2	s0007
t00071	e00076	e00077	related_to	0.5	2	s0007
t00072	e00077	e00078	related_to	0.5	2	s0007
t00073	e00078	e00079	related_to	0.5	2	s0007
t00074	e00079	e00080	related_to	0.5	2	s0007
t00075	e00080	e00081	related_to	0.5	2	s0007
t00076	e00081	e00082	related_to	0.5	2	s0007
t00077	e00082	e00083	related_to	0.5	2	s0007
t00078	e00083	e00084	related_to	0.5	2	s0007
t00079	e00084	e00085	related_to	0.5	2	s0007
t00080	e00085	e00086	related_to	0.5	2	s0007
t00081	e00086	e00087	related_to	0.5	2	s0007
t00082	e00087	e00088	related_to	0.5	2	s0007
t00083	e00088	e00089	related_to	0.5	2	s0007
t00084	e00089	e00090	related_to	0.5	2	s0007
t00085	e00090	e00091	related_to	0.5	2	s0007
t00086	e00091	e00092	related_to	0.5	2	s0007
t00087	e00092	e00093	related_to	0.5	2	s0007
t00088	e00093	e00094	related_to	0.5	2	s0007
t00089	e00094	e00095	related_to	0.5	2	s0007
t00090	e00095	e00096	related_to	0.5	2	s0007
t00091	e00096	e00097	related_to	0.5	2	s0007
t00092	e00097	e00098	related_to	0.5	2	s0007
t00093	e00098	e00099	related_to	0.5	2	s0007
t00094	e00099	e00100	related_to	0.5	2	s0007
t00095	e00100	e00101	related_to	0.5	2	s0007
t00096	e00101	e00102	related_to	0.5	2	s0007
t00097	e00102	e00103	related_to	0.5	2	s0007
t00098	e00103	e00104	related_to	0.5	2	s0007
t00099	e00104	e00105	related_to	0.5	2	s0007
t00100	e00105	e00106	related_to	0.5	2	s0007
t00101	e00106	e00107	related_to	0.5	2	s0007
t00102	e00107	e00108	related_to	0.5	2	s0007
t00103	e00108	e00109	related_to	0.5	2	s0007
t00104	e00109	e00110	related_to	0.5	2	s0007
t00105	e00110	e00111	related_to	0.5	2	s0007
t00106	e00111	e00112	related_to	0.5	2	s0007
t00107	e00112	e00113	related_to	0.5	2	s0007
t00108	e00113	e00114	related_to	0.5	2	s0007
t00109	e00114	e00115	related_to	0.5	2	s0007
t00110	e00115	e00116	related_to	0.5	2	s0007
t00111	e00116	e00117	related_to	0.5	2	s0007
t00112	e00117	e00118	related_to	0.5	2	s0007
t00113	e00118	e00119	related_to	0.5	2	s0007
t00114	e00119	e00120	related_to	0.5	2	s0007
t00115	e00120	e00121	related_to	0.5	2	s0007
t00116	e00121	e00122	related_to	0.5	2	s0007
t00117	e00122	e00123	related_to	0.5	2	s0007
t00118	e00123	e00124	related_to	0.5	2	s0007
t00119	e00124	e00125	related_to	0.5	2	s0007
t00120	e00125	e00126	related_to	0.5	2	s0007
t00121	e00126	e00127	related_to	0.5	2	s0007
t00122	e00127	e00128	related_to	0.5	2	s0007
t00123	e00128	e00129	related_to	0.5	2	s0007
t00124	e00129	e00130	related_to	0.5	2	s0007
t00125	e00130	e00131	related_to	0.5	2	s0007
t00126	e00131	e00132	related_to	0.5	2	s0007
t00127	e00132	e00133	related_to	0.5	2	s0007
t00128	e00133	e00134	related_to	0.5	2	s0007
t00129	e00134	e00135	related_to	0.5	2	s0007
t00130	e00135	e00136	related_to	0.5	2	s0007
t00131	e00136	e00137	related_to	0.5	2	s0007
t00132	e00137	e00138	related_to	0.5	2	s0007
t00133	e00138	e00139	related_to	0.5	2	s0007
t00134	e00139	e00140	related_to	0.5	2	s0007
t00135	e00140	e00141	related_to	0.5	2	s0007
t00136	e00141	e00142	related_to	0.5	2	s0007
t00137	e00142	e00143	related_to	0.5	2	s0007
t00138	e00143	e00144	related_to	0.5	2	s0007
t00139	e00144	e00145	related_to	0.5	2	s0007
t00140	e00145	e00146	related_to	0.5	2	s0007
t00141	e00146	e00147	related_to	0.5	2	s0007
t00142	e00147	e00148	related_to	0.5	2	s0007
t00143	e00148	e00149	related_to	0.5	2	s0007
t00144	e00149	e00150	related_to	0.5	2	s0007
t00145	e00150	e00151	related_to	0.5	2	s0007
t00146	e00151	e00152	related_to	0.5	2	s0007
t00147	e00152	e00153	related_to	0.5	2	s0007
t00148	e00153	e00154	related_to	0.5	2	s0007
t00149	e00154	e00155	related_to	0.5	2	s0007
t00150	e00155	e00156	related_to	0.5	2	s0007
t00151	e00156	e00157	related_to	0.5	2	s0007
t00152	e00157	e00158	related_to	0.5	2	s0007
t00153	e00158	e00159	related_to	0.5	2	s0007
t00154	e00159	e00160	related_to	0.5	2	s0007
t00155	e00160	e00161	related_to	0.5	2	s0007
t00156	e00161	e00162	related_to	0.5	2	s0007
t00157	e00162	e00163	related_to	0.5	2	s0007
t00158	e00163	e00164	related_to	0.5	2	s0007
t00159	e00164	e00165	related_to	0.5	2	s0007
t00160	e00165	e00166	related_to	0.5	2	s0007
t00161	e00166	e00167	related_to	0.5	2	s0007
t00162	e00167	e00168	related_to	0.5	2	s0007
t00163	e00168	e00169	related_to	0.5	2	s0007
t00164	e00169	e00170	related_to	0.5	2	s0007
t00165	e00170	e00171	related_to	0.5	2	s0007
t00166	e00171	e00172	related_to	0.5	2	s0007
t00167	e00172	e00173	related_to	0.5	2	s0007
t00168	e00173	e00174	related_to	0.5	2	s0007
t00169	e00174	e00175	related_to	0.5	2	s0007
t00170	e00175	e00176	related_to	0.5	2	s0007
t00171	e00176	e00177	related_to	0.5	2	s0007
t00172	e00177	e00178	related_to	0.5	2	s0007
t00173	e00178	e00179	related_to	0.5	2	s0007
t00174	e00179	e00180	related_to	0.5	2	s0007
t00175	e00180	e00181	related_to	0.5	2	s0007
t00176	e00181	e00182	related_to	0.5	2	s0007
t00177	e00182	e00183	related_to	0.5	2	s0007
t00178	e00183	e00184	related_to	0.5	2	s0007
t00179	e00184	e00185	related_to	0.5	2	s0007
t00180	e00185	e00186	related_to	0.5	2	s0007
t00181	e00186	e00187	related_to	0.5	2	s0007
t00182	e00187	e00188	related_to	0.5	2	s0007
t00183	e00188	e00189	related_to	0.5	2	s0007
t00184	e00189	e00190	related_to	0.5	2	s0007
t00185	e00190	e00191	related_to	0.5	2	s0007
t00186	e00191	e00192	related_to	0.5	2	s0007
t00187	e00192	e00193	related_to	0.5	2	s0007
t00188	e00193	e00194	related_to	0.5	2	s0007
t00189	e00194	e00195	related_to	0.5	2	s0007
t00190	e00195	e00196	related_to	0.5	2	s0007
t00191	e00196	e00197	related_to	0.5	2	s0007
t00192	e00197	e00198	related_to	0.5	2	s0007
t00193	e00198	e00199	related_to	0.5	2	s0007
t00194	e00199	e00200	related_to	0.5	2	s0007
t00195	e00200	e00201	related_to	0.5	2	s0007
t00196	e00201	e00202	related_to	0.5	2	s0007
t00197	e00202	e00203	related_to	0.5	2	s0007
t00198	e00203	e00204	related_to	0.5	2	s0007
t00199	e00204	e00205	related_to	0.5	2	s0007
t00200	e00205	e00206	related_to	0.5	2	s0007
t00201	e00206	e00207	related_to	0.5	2	s0007
t00202	e00207	e00208	related_to	0.5	2	s0007
t00203	e00208	e00209	related_to	0.5	2	s0007
t00204	e00209	e00210	related_to	0.5	2	s0007
t00205	e00210	e00211	related_to	0.5	2	s0007
t00206	e00211	e00212	related_to	0.5	2	s0007
t00207	e00212	e00213	related_to	0.5	2	s0007
t00208	e00213	e00214	related_to	0.5	2	s0007
t00209	e00214	e00215	related_to	0.5	2	s0007
t00210	e00215	e00216	related_to	0.5	2	s0007
t00211	e00216	e00217	related_to	0.5	2	s0007
t00212	e00217	e00218	related_to	0.5	2	s0007
t00213	e00218	e00219	related_to	0.5	2	s0007
t00214	e00219	e00220	related_to	0.5	2	s0007
t00215	e00220	e00221	related_to	0.5	2	s0007
t00216	e00221	e00222	related_to	0.5	2	s0007
t00217	e00222	e00223	related_to	0.5	2	s0007
t00218	e00223	e00224	related_to	0.5	2	s0007
t00219	e00224	e00225	related_to	0.5	2	s0007
t00220	e00225	e00226	related_to	0.5	2	s0007
t00221	e00226	e00227	related_to	0.5	2	s0007
t00222	e00227	e00228	related_to	0.5	2	s0007
t00223	e00228	e00229	related_to	0.5	2	s0007
t00224	e00229	e00230	related_to	0.5	2	s0007
t00225	e00230	e00231	related_to	0.5	2	s0007
t00226	e00231	e00232	related_to	0.5	2	s0007
t00227	e00232	e00233	related_to	0.5	2	s0007
t00228	e00233	e00234	related_to	0.5	2	s0007
t00229	e00234	e00235	related_to	0.5	2	s0007
t00230	e00235	e00236	related_to	0.5	2	s0007
t00231	e00236	e00237	related_to	0.5	2	s0007
t00232	e00237	e00238	related_to	0.5	2	s0007
t00233	e00238	e00239	related_to	0.5	2	s0007
t00234	e00239	e00240	related_to	0.5	2	s0007
t00235	e00240	e00241	related_to	0.5	2	s0007
t00236	e00241	e00242	related_to	0.5	2	s0007
t00237	e00242	e00243	related_to	0.5	2	s0007
t00238	e00243	e00244	related_to	0.5	2	s0007
t00239	e00244	e00245	related_to	0.5	2	s0007
t00240	e00245	e00246	related_to	0.5	2	s0007
t00241	e00246	e00247	related_to	0.5	2	s0007
t00242	e00247	e00248	related_to	0.5	2	s0007
t00243	e00248	e00249	related_to	0.5	2	s0007
t00244	e00249	e00250	related_to	0.5	2	s0007
t00245	e00250	e00251	related_to	0.5	2	s0007
t00246	e00251	e00252	related_to	0.5	2	s0007
t00247	e00252	e00253	related_to	0.5	2	s0007
t00248	e00253	e00254	related_to	0.5	2	s0007
t00249	e00254	e00255	related_to	0.5	2	s0007
t00250	e00255	e00256	related_to	0.5	2	s0007
t00251	e00256	e00257	related_to	0.5	2	s0007
t00252	e00257	e00258	related_to	0.5	2	s0007
t00253	e00258	e00259	related_to	0.5	2	s0007
t00254	e00259	e00260	related_to	0.5	2	s0007
t00255	e00260	e00261	related_to	0.5	2	s0007
t00256	e00261	e00262	related_to	0.5	2	s0007
t00257	e00262	e00263	related_to	0.5	2	s0007
t00258	e00263	e00264	related_to	0.5	2	s0007
t00259	e00264	e00265	related_to	0.5	2	s0007
t00260	e00265	e00266	related_to	0.5	2	s0007
t00261	e00266	e00267	related_to	0.5	2	s0007
t00262	e00267	e00268	related_to	0.5	2	s0007
t00263	e00268	e00269	related_to	0.5	2	s0007
t00264	e00269	e00270	related_to	0.5	2	s0007
t00265	e00270	e00271	related_to	0.5	2	s0007
t00266	e00271	e00272	related_to	0.5	2	s0007
t00267	e00272	e00273	related_to	0.5	2	s0007
t00268	e00273	e00274	related_to	0.5	2	s0007
t00269	e00274	e00275	related_to	0.5	2	s0007
t00270	e00275	e00276	related_to	0.5	2	s0007
t00271	e00276	e00277	related_to	0.5	2	s0007
t00272	e00277	e00278	related_to	0.5	2	s0007
t00273	e00278	e00279	related_to	0.5	2	s0007
t00274	e00281	e00282	related_to	0.5	3	s0067
t00275	e00282	e00283	related_to	0.5	3	s0067
t00276	e00283	e00284	related_to	0.5	3	s0067
t00277	e00284	e00285	related_to	0.5	3	s0067
t00278	e00285	e00286	related_to	0.5	3	s0067
t00279	e00286	e00287	related_to	0.5	3	s0067
t00280	e00288	e00289	related_to	0.5	3	s0068
t00281	e00289	e00290	related_to	0.5	3	s0068
t00282	e00290	e00291	related_to	0.5	3	s0068
t00283	e00291	e00292	related_to	0.5	3	s0068
t00284	e00292	e00293	related_to	0.5	3	s0068
t00285	e00294	e00295	related_to	0.5	3	s0069
t00286	e00296	e00297	related_to	0.5	3	s0070
t00287	e00297	e00298	related_to	0.5	3	s0070
t00288	e00299	e00300	related_to	0.5	3	s0071
t00289	e00300	e00301	related_to	0.5	3	s0071
t00290	e00301	e00302	related_to	0.5	3	s0071
t00291	e00302	e00303	related_to	0.5	3	s0071
t00292	e00304	e00305	related_to	0.5	3	s0072
t00293	e00305	e00306	related_to	0.5	3	s0072
t00294	e00306	e00307	related_to	0.5	3	s0072
t00295	e00307	e00308	related_to	0.5	3	s0072
t00296	e00308	e00309	related_to	0.5	3	s0072
t00297	e00310	e00311	related_to	0.5	4	s0073
t00298	e00311	e00312	related_to	0.5	4	s0073
t00299	e00312	e00313	related_to	0.5	4	s0073
t00300	e00313	e00314	related_to	0.5	4	s0073
t00301	e00314	e00315	related_to	0.5	4	s0073
t00302	e00316	e00317	related_to	0.5	4	s0074
t00303	e00317	e00318	related_to	0.5	4	s0074
t00304	e00318	e00319	related_to	0.5	4	s0074
t00305	e00320	e00321	related_to	0.5	4	s0075
t00306	e00322	e00323	related_to	0.5	4	s0076
t00307	e00323	e00324	related_to	0.5	4	s0076
t00308	e00324	e00325	related_to	0.5	4	s0076
t00309	e00325	e00326	related_to	0.5	4	s0076
t00310	e00326	e00327	related_to	0.5	4	s0076
t00311	e00327	e00328	related_to	0.5	4	s0076
t00312	e00329	e00330	related_to	0.5	4	s0077
t00313	e00330	e00331	related_to	0.5	4	s0077
t00314	e00331	e00332	related_to	0.5	4	s0077
t00315	e00333	e00334	related_to	0.5	4	s0078
t00316	e00335	e00336	related_to	0.5	4	s0079
t00317	e00336	e00337	related_to	0.5	4	s0079
t00318	e00338	e00339	related_to	0.5	4	s0080
t00319	e00339	e00340	related_to	0.5	4	s0080
t00320	e00340	e00341	related_to	0.5	4	s0080
t00321	e00342	e00343	related_to	0.5	4	s0081
t00322	e00343	e00344	related_to	0.5	4	s0081
t00323	e00344	e00345	related_to	0.5	4	s0081
t00324	e00345	e00346	related_to	0.5	4	s0081
t00325	e00347	e00348	related_to	0.5	4	s0082
t00326	e00349	e00350	related_to	0.5	4	s0083
t00327	e00350	e00351	related_to	0.5	4	s0083
t00328	e00351	e00352	related_to	0.5	4	s0083
t00329	e00352	e00353	related_to	0.5	4	s0083
t00330	e00353	e00354	related_to	0.5	4	s0083
t00331	e00355	e00356	related_to	0.5	4	s0084
t00332	e00357	e00358	related_to	0.5	4	s0085
t00333	e00358	e00359	related_to	0.5	4	s0085
t00334	e00359	e00360	related_to	0.5	4	s0085
t00335	e00360	e00361	related_to	0.5	4	s0085
t00336	e00361	e00362	related_to	0.5	4	s0085
t00337	e00362	e00363	related_to	0.5	4	s0085
t00338	e00363	e00364	related_to	0.5	4	s0085
t00339	e00364	e00365	related_to	0.5	4	s0085
t00340	e00365	e00366	related_to	0.5	4	s0085
t00341	e00366	e00367	related_to	0.5	4	s0085
t00342	e00367	e00368	related_to	0.5	4	s0085
t00343	e00369	e00370	related_to	0.5	4	s0087
t00344	e00371	e00372	related_to	0.5	4	s0088
t00345	e00373	e00374	related_to	0.5	4	s0089
t00346	e00374	e00375	related_to	0.5	4	s0089
t00347	e00375	e00376	related_to	0.5	4	s0089
t00348	e00376	e00377	related_to	0.5	4	s0089
t00349	e00377	e00378	related_to	0.5	4	s0089
t00350	e00379	e00380	related_to	0.5	4	s0090
t00351	e00380	e00381	related_to	0.5	4	s0090
t00352	e00381	e00382	related_to	0.5	4	s0090
t00353	e00382	e00383	related_to	0.5	4	s0090
t00354	e00383	e00384	related_to	0.5	4	s0090
t00355	e00385	e00386	related_to	0.5	4	s0091
t00356	e00386	e00387	related_to	0.5	4	s0091
t00357	e00387	e00388	related_to	0.5	4	s0091
t00358	e00388	e00389	related_to	0.5	4	s0091
t00359	e00391	e00392	related_to	0.5	4	s0093
t00360	e00392	e00393	related_to	0.5	4	s0093
t00361	e00393	e00394	related_to	0.5	4	s0093
t00362	e00395	e00396	related_to	0.5	4	s0094
t00363	e00396	e00397	related_to	0.5	4	s0094
t00364	e00397	e00398	related_to	0.5	4	s0094
t00365	e00398	e00399	related_to	0.5	4	s0094
t00366	e00400	e00401	related_to	0.5	4	s0095
t00367	e00402	e00403	related_to	0.5	4	s0096
t00368	e00403	e00404	related_to	0.5	4	s0096
t00369	e00404	e00405	related_to	0.5	4	s0096
