edge_key,src_name,src_label,relation_type,dst_name,dst_label,status
对象错误||Concept||related_to||打击错误||Concept,对象错误,Concept,related_to,打击错误,Concept,TP
抽象的认识错误||Concept||defines||不同构成要件间的认识错误||Concept,抽象的认识错误,Concept,defines,不同构成要件间的认识错误,Concept,TP
故意||Concept||includes||间接故意||Concept,故意,Concept,includes,间接故意,Concept,TP
A死||Crime||related_to||多所交合犯||Crime,A死,Crime,related_to,多所交合犯,Crime,FP
Q@||Other||related_to||过失犯罪||Crime,Q@,Other,related_to,过失犯罪,Crime,FP
七点半||Time||related_to||电话亭||Location,七点半,Time,related_to,电话亭,Location,FP
丈夫||Person||applies_to||绳子||Other,丈夫,Person,applies_to,绳子,Other,FP
丈夫||Person||related_to||毒酒||Crime,丈夫,Person,related_to,毒酒,Crime,FP
不同构成要件间的认识错误||Concept||defines||抽象的认识错误||Concept,不同构成要件间的认识错误,Concept,defines,抽象的认识错误,Concept,FP
不当得利||Law||causes||侵占罪||Crime,不当得利,Law,causes,侵占罪,Crime,FP
不能犯||Concept||related_to||犯罪形态||Concept,不能犯,Concept,related_to,犯罪形态,Concept,FP
不能犯||Law||defines||对象不能犯||Law,不能犯,Law,defines,对象不能犯,Law,FP
专题讲座精讲卷||Book||defines||事实认识错误||Concept,专题讲座精讲卷,Book,defines,事实认识错误,Concept,FP
专题讲座精讲卷||Book||related_to||拘泽案||Crime,专题讲座精讲卷,Book,related_to,拘泽案,Crime,FP
专题讲座精讲卷||Book||related_to||李四||Person,专题讲座精讲卷,Book,related_to,李四,Person,FP
专题讲座精讲卷||Book||related_to||罪过形式的区分||Concept,专题讲座精讲卷,Book,related_to,罪过形式的区分,Concept,FP
两步走||Concept||defines||过失||Concept,两步走,Concept,defines,过失,Concept,FP
主客观||Concept||related_to||行为人||Person,主客观,Concept,related_to,行为人,Person,FP
主观原因||Concept||related_to||客观原因||Concept,主观原因,Concept,related_to,客观原因,Concept,FP
主观要件||Concept||applies_to||抢动罪||Crime,主观要件,Concept,applies_to,抢动罪,Crime,FP
主观要件||Concept||applies_to||犯罪||Crime,主观要件,Concept,applies_to,犯罪,Crime,FP
主观要件||Concept||related_to||太子||Person,主观要件,Concept,related_to,太子,Person,FP
二皇子||Person||causes||太监||Person,二皇子,Person,causes,太监,Person,FP
二皇子||Person||related_to||太监||Person,二皇子,Person,related_to,太监,Person,FP
五星级考点||Concept||defines||打击错误||Crime,五星级考点,Concept,defines,打击错误,Crime,FP
交通法规||Law||applies_to||红灯||Concept,交通法规,Law,applies_to,红灯,Concept,FP
交通秘事罪||Crime||related_to||故意杀人罪||Crime,交通秘事罪,Crime,related_to,故意杀人罪,Crime,FP
人参果||Other||causes||孙悟空||Person,人参果,Other,causes,孙悟空,Person,FP
人身犯罪||Concept||includes||强奸罪||Crime,人身犯罪,Concept,includes,强奸罪,Crime,FP
仓库||Location||causes||火灾||Crime,仓库,Location,causes,火灾,Crime,FP
他人||Concept||applies_to||行为人||Concept,他人,Concept,applies_to,行为人,Concept,FP
优人乙||Person||related_to||路人丙||Person,优人乙,Person,related_to,路人丙,Person,FP
伤害健康||Concept||includes||剥夺生命||Concept,伤害健康,Concept,includes,剥夺生命,Concept,FP
侵占||Crime||related_to||盗宅||Crime,侵占,Crime,related_to,盗宅,Crime,FP
保护法益||Concept||applies_to||凶手||Person,保护法益,Concept,applies_to,凶手,Person,FP
假烟||Crime||related_to||检查站||Location,假烟,Crime,related_to,检查站,Location,FP
假美元||Crime||related_to||假欧元||Crime,假美元,Crime,related_to,假欧元,Crime,FP
儿子||Person||causes||毒酒||Other,儿子,Person,causes,毒酒,Other,FP
儿子||Person||causes||驾车||Crime,儿子,Person,causes,驾车,Crime,FP
入户非法取财||Crime||related_to||抢劫||Crime,入户非法取财,Crime,related_to,抢劫,Crime,FP
公交车||Other||related_to||司机||Person,公交车,Other,related_to,司机,Person,FP
具体符合说||Concept||related_to||法定符合说||Concept,具体符合说,Concept,related_to,法定符合说,Concept,FP
凶器||Other||applies_to||后脑部||Other,凶器,Other,applies_to,后脑部,Other,FP
击打行为||Crime||causes||抢劫罪||Crime,击打行为,Crime,causes,抢劫罪,Crime,FP
刑法||Law||applies_to||甲乙二人||Person,刑法,Law,applies_to,甲乙二人,Person,FP
刑法||Law||defines||故意||Concept,刑法,Law,defines,故意,Concept,FP
刑法||Law||defines||过失致人重伤||Crime,刑法,Law,defines,过失致人重伤,Crime,FP
刑法||Law||related_to||专题讲座精讲卷||Book,刑法,Law,related_to,专题讲座精讲卷,Book,FP
刑法学||Book||defines||第六版||Book,刑法学,Book,defines,第六版,Book,FP
前女友||Other||related_to||头套||Other,前女友,Other,related_to,头套,Other,FP
前行为||Concept||defines||计划杀人的预备行为||Crime,前行为,Concept,defines,计划杀人的预备行为,Crime,FP
动物园||Location||related_to||狗熊||Other,动物园,Location,related_to,狗熊,Other,FP
勒索财物||Crime||related_to||绪架||Crime,勒索财物,Crime,related_to,绪架,Crime,FP
包庇罪||Law||applies_to||犯罪分子||Crime,包庇罪,Law,applies_to,犯罪分子,Crime,FP
医生||Person||causes||病人||Person,医生,Person,causes,病人,Person,FP
同一构成要件||Law||includes||认识错误||Concept,同一构成要件,Law,includes,认识错误,Concept,FP
后行为||Concept||defines||计划杀人的实行行为||Crime,后行为,Concept,defines,计划杀人的实行行为,Crime,FP
命题组||Org||applies_to||考生||Other,命题组,Org,applies_to,考生,Other,FP
四村||Location||related_to||主观要件||Concept,四村,Location,related_to,主观要件,Concept,FP
因果关系错误||Concept||causes||犯罪||Crime,因果关系错误,Concept,causes,犯罪,Crime,FP
图书馆||Location||applies_to||毒苹果||Other,图书馆,Location,applies_to,毒苹果,Other,FP
外文书籍||Book||related_to||淫秽的小说||Crime,外文书籍,Book,related_to,淫秽的小说,Crime,FP
多所交合犯||Crime||related_to||法导致死亡||Crime,多所交合犯,Crime,related_to,法导致死亡,Crime,FP
太子||Person||related_to||二皇子||Person,太子,Person,related_to,二皇子,Person,FP
太监||Person||applies_to||故意杀人罪||Crime,太监,Person,applies_to,故意杀人罪,Crime,FP
太监||Person||related_to||皇家园林||Location,太监,Person,related_to,皇家园林,Location,FP
头套||Other||related_to||钱包||Other,头套,Other,related_to,钱包,Other,FP
女儿||Person||related_to||警察||Org,女儿,Person,related_to,警察,Org,FP
妻子||Person||related_to||丈夫||Person,妻子,Person,related_to,丈夫,Person,FP
妻子丙||Person||related_to||211”室||Location,妻子丙,Person,related_to,211”室,Location,FP
妻子乙||Person||related_to||女儿||Person,妻子乙,Person,related_to,女儿,Person,FP
姓名||Concept||related_to||身份||Concept,姓名,Concept,related_to,身份,Concept,FP
姓名||Other||related_to||身份||Other,姓名,Other,related_to,身份,Other,FP
姓名||Person||related_to||身份||Concept,姓名,Person,related_to,身份,Concept,FP
孙悟空||Person||causes||猪八戒||Person,孙悟空,Person,causes,猪八戒,Person,FP
安眠药||Other||related_to||妻子||Person,安眠药,Other,related_to,妻子,Person,FP
实事求是||Concept||applies_to||人权||Concept,实事求是,Concept,applies_to,人权,Concept,FP
实行阶段||Concept||causes||实行行为||Concept,实行阶段,Concept,causes,实行行为,Concept,FP
客船||Other||causes||乘客||Person,客船,Other,causes,乘客,Person,FP
