entity_id	sentence_id	page_no	mention	start_char	end_char	ent_type	confidence
e00001	s0016	2	全国人大常委会	0	7	government	0.9183
e00002	s0016	2	最高法院	14	18	government	0.9888
e00003	s0016	2	最高检察院	19	24	government	0.9881
e00004	s0020	2	质检部门	39	43	government	0.8410
e00006	s0071	3	张明楷	15	18	name	0.9937
e00007	s0071	3	罪刑法定与刑法解释	19	30	book	0.9833
e00008	s0071	3	北京大学出版	31	37	organization	0.8464
e00010	s0072	3	刑法分则的解释原理	5	16	book	0.9752
e00011	s0072	3	中国人民大学出版	31	39	organization	0.8591
e00012	s0082	4	国家机关	24	28	government	0.8228
e00013	s0083	4	副乡长	1	4	position	0.9596
e00014	s0083	4	市长	7	9	position	0.9852
e00016	s0149	5	司法机关	0	4	government	0.9159
e00017	s0153	6	司法机关	18	22	government	0.7957
e00019	s0183	6	质检部门	15	19	government	0.7534
e00020	s0209	7	警察	8	10	position	0.8328
e00021	s0210	7	军警	12	14	position	0.7873
e00024	s0217	7	国家机关	9	13	government	0.7036
e00025	s0218	7	副乡长	1	4	position	0.9853
e00026	s0218	7	市长	6	8	position	0.9842
e00028	s0231	7	真金题卷	18	24	book	0.9809
e00034	s0237	7	行政机关	71	75	government	0.9366
e00035	s0237	7	司法机关	81	85	government	0.9489
e00038	s0254	8	立法机关	14	18	government	0.6894
e00039	s0259	8	成文	0	2	name	0.8874
e00040	s0260	8	机关	7	9	government	0.5903
e00041	s0260	8	行政机关	25	29	government	0.6906
e00042	s0260	8	国务院	67	70	government	0.9644
e00043	s0261	8	最高人民法院	0	6	government	0.9845
e00044	s0261	8	最高人民检察院	7	14	government	0.9856
e00045	s0274	8	张明楷	2	5	name	0.9923
e00046	s0274	8	刑法学	6	11	book	0.9797
e00047	s0274	8	律出版	19	22	organization	0.6823
e00048	s0279	9	鲍如	0	2	name	0.8492
e00049	s0301	9	许霆	16	18	name	0.9870
e00052	s0302	9	省高级法院	4	10	government	0.8306
e00053	s0302	9	司机	21	23	position	0.5519
e00054	s0308	9	全国人大	13	17	government	0.8887
e00055	s0316	10	家机关	113	116	government	0.6199
e00056	s0323	10	金正男	29	32	name	0.9711
e00057	s0323	10	领导人	34	37	position	0.9343
e00058	s0323	10	金正恩	37	40	name	0.9751
e00059	s0323	10	马来西亚	46	50	address	0.8764
e00061	s0325	10	华人民共和	44	49	government	0.5314
e00062	s0326	10	中华人民共和国	2	9	government	0.7462
e00063	s0327	10	中华人民共	15	20	government	0.5376
e00065	s0341	11	海关	46	48	government	0.8645
e00066	s0344	11	华人民共和	30	35	government	0.6408
e00068	s0345	11	中华人民共和国	0	7	government	0.6729
e00069	s0348	11	中华人民共和	34	40	government	0.5312
e00070	s0349	11	澳台	52	54	address	0.6663
e00071	s0349	11	民族自治区人大	68	75	government	0.9358
e00072	s0352	11	拉斯维加斯	14	19	address	0.9738
e00073	s0358	11	法国	25	27	address	0.5964
e00075	s0363	11	缅甸	9	11	address	0.8860
e00076	s0364	11	马来西亚	5	9	address	0.9123
e00077	s0367	12	金正男	23	26	name	0.5988
e00078	s0367	12	马来西亚	39	43	address	0.8865
e00079	s0367	12	越南	50	52	address	0.7626
e00081	s0370	12	中华人民共和国	51	59	government	0.7776
e00082	s0378	12	经理	9	11	position	0.9673
e00083	s0380	12	法修正案	2	6	book	0.7396
e00084	s0381	12	刑法修正案(八)	0	12	book	0.7696
e00085	s0382	12	刑法修正案	0	6	book	0.8057
e00086	s0383	12	刑法修正案(十)	0	13	book	0.7834
e00087	s0383	12	刑法修正案(十一)	26	39	book	0.7953
e00088	s0384	12	刑法修正案(十二)	0	14	book	0.7709
e00089	s0387	13	刑法修正案(十二)	10	24	book	0.7230
e00090	s0401	13	最高人民法院	38	44	government	0.9872
e00091	s0401	13	最高人民检察院	45	52	government	0.9844
e00092	s0401	13	关于适用刑事司法解	52	62	book	0.7054
e00093	s0401	13	时间效力问题的规定	63	73	book	0.7696
